Municípios,Gentílico,PIB per capita,População
Carmo do Rio Claro,mineiro,32595.84,20954
Carmópolis de Minas,mineiro,23365.28,18003
Carneirinho,mineiro,40332.68,9422
Carrancas,mineiro,43842.86,4049
Carvalhópolis,mineiro,19752.88,3341
Carvalhos,mineiro,18141.26,4422
Casa Grande,mineiro,30760.19,2214
Cascalho Rico,mineiro,25741.18,2712
Cássia,mineiro,24600.35,17155
Cataguases,mineiro,21748.3,66261
Catas Altas,mineiro,920833.97,5473
Catas Altas da Noruega,mineiro,11130.5,3110
Catuji,mineiro,13420.7,7030
Catuti,mineiro,11497.57,4739
Caxambu,mineiro,17204.61,21056
Cedro do Abaeté,mineiro,19483.63,1081
Central de Minas,mineiro,12334.73,6171
Centralina,mineiro,33942.79,10207
Chácara,mineiro,14661.46,3075
Chalé,mineiro,20049.37,6075
Chapada do Norte,mineiro,7247.1,10337
Chapada Gaúcha,mineiro,28354.63,12355
Chiador,mineiro,14020.88,2800
Cipotânea,mineiro,10762.85,5581
Claraval,mineiro,37352.16,4658
Claro dos Poções,mineiro,11196.9,7166
Cláudio,mineiro,38451.85,30159
Coimbra,mineiro,18325.94,7117
Coluna,mineiro,13756.65,8163
Comendador Gomes,mineiro,49491.51,2773
Comercinho,mineiro,10285.11,6660
Conceição da Aparecida,mineiro,26487.93,10371
Conceição da Barra de Minas,mineiro,17449.47,3560
Conceição das Alagoas,mineiro,45805.26,28381
Conceição das Pedras,mineiro,21692.56,2772
Conceição de Ipanema,mineiro,17685.15,4409
Conceição do Mato Dentro,mineiro,519040.92,23163
Conceição do Pará,mineiro,88902.87,5415
Conceição do Rio Verde,mineiro,25025.75,12541
Conceição dos Ouros,mineiro,18994.87,10880
Cônego Marinho,mineiro,8212.18,7237
Confins,mineiro,70734.21,7350
Congonhal,mineiro,18053.14,11083
Congonhas,mineiro,73709.5,52890
Congonhas do Norte,mineiro,9768.27,4831
Conquista,mineiro,70049.61,6694
Conselheiro Lafaiete,mineiro,23881.55,131621
Conselheiro Pena,mineiro,16708.53,20824
Consolação,mineiro,17609.85,1563
Contagem,mineiro,54136.41,621863
Coqueiral,mineiro,25735.37,9023
Coração de Jesus,mineiro,10251.33,25377
Cordisburgo,mineiro,16419.95,7547
Cordislândia,mineiro,32084.04,3200
Corinto,mineiro,25937.03,23532
Coroaci,mineiro,12690.02,10884
Coromandel,mineiro,54911.1,28894
Coronel Fabriciano,mineiro,18029.42,104736
Coronel Murta,mineiro,13016.09,8200
Coronel Pacheco,mineiro,19419.15,2762
Coronel Xavier Chaves,mineiro,26367.67,3486
Córrego Danta,mineiro,52273.69,2960
Córrego do Bom Jesus,mineiro,12384.73,4272
Córrego Fundo,mineiro,49904.63,6133
Córrego Novo,mineiro,14332.74,2875
Couto de Magalhães de Minas,mineiro,14262.94,4245
Crisólita,mineiro,11215.05,5265
Cristais,mineiro,22628.65,12197
Cristália,mineiro,9875.05,5121
Cristiano Otoni,mineiro,23967.13,4667
Cristina,mineiro,22906.28,10374
Crucilândia,mineiro,16383.73,5434
Cruzeiro da Fortaleza,mineiro,50408.9,3521
Cruzília,mineiro,20461.59,15362
Cuparaque,mineiro,14734.12,3983
Curral de Dentro,mineiro,10226.6,7406
Curvelo,mineiro,27509.61,80665
Datas,mineiro,13618.93,5465
Delfim Moreira,mineiro,15700.68,7952
Delfinópolis,mineiro,34599.14,8393
Delta,mineiro,42456.49,10494
Descoberto,mineiro,16206.3,4928
Desterro de Entre Rios,mineiro,35948.85,7653
Desterro do Melo,mineiro,17657.89,2994
Diamantina,mineiro,20537.92,47702
Diogo de Vasconcelos,mineiro,11363.34,3549
Dionísio,mineiro,12128.99,6847
Divinésia,mineiro,18575.93,4226
Divino,mineiro,15957.14,20706
Divino das Laranjeiras,mineiro,12416.03,4178
Divinolândia de Minas,mineiro,10750.55,6516
Divinópolis,mineiro,34355.36,231091
Divisa Alegre,mineiro,25656.27,6321
Divisa Nova,mineiro,21452.98,5851
Divisópolis,mineiro,8178.51,10213
Dom Bosco,mineiro,19065.15,3697
Dom Cavati,mineiro,13860.37,4904
Dom Joaquim,mineiro,15289.15,4899
Dom Silvério,mineiro,20648.91,5228
Dom Viçoso,mineiro,13052.06,3095
Dona Euzébia,mineiro,16492.38,6093
Dores de Campos,mineiro,31116.02,10007
Dores de Guanhães,mineiro,37105.01,5029
Dores do Indaiá,mineiro,26339.03,12630
Dores do Turvo,mineiro,15908.49,4987
Doresópolis,mineiro,54667.85,1461
Douradoquara,mineiro,41427.06,1829
Durandé,mineiro,15560.07,7817
Elói Mendes,mineiro,24720.9,26336
Engenheiro Caldas,mineiro,13936.2,13622
Engenheiro Navarro,mineiro,12715.66,6354
Entre Folhas,mineiro,12061.39,5179
Entre Rios de Minas,mineiro,17481.31,14746
Ervália,mineiro,21529.87,20255
Esmeraldas,mineiro,13419.92,85598
Espera Feliz,mineiro,16254.21,24102
Espinosa,mineiro,11517.31,30443
Espírito Santo do Dourado,mineiro,25854.33,6611
Estiva,mineiro,52723.75,11502
Estrela Dalva,mineiro,18586.66,2186
Estrela do Indaiá,mineiro,47456.81,2772
Estrela do Sul,mineiro,43679.34,6840
Eugenópolis,mineiro,19487.85,10801
Ewbank da Câmara,mineiro,13825.96,3875
Extrema,mineiro,362591.97,53482
Fama,mineiro,24698.85,2578
Faria Lemos,mineiro,20105.49,3188
Felício dos Santos,mineiro,15837.34,5133
Felisburgo,mineiro,10030.05,6489
Felixlândia,mineiro,18106.34,13978
Fernandes Tourinho,mineiro,13101.7,2789
Ferros,mineiro,15447.38,9590
Fervedouro,mineiro,14134.11,10445
Florestal,mineiro,18785.7,8045
Formiga,mineiro,32581.52,68248
Formoso,mineiro,32101.59,7949
Fortaleza de Minas,mineiro,24956.6,3477
Fortuna de Minas,mineiro,17170.82,3093
Francisco Badaró,mineiro,7546.65,7366
Francisco Dumont,mineiro,14352.6,4503
Francisco Sá,mineiro,17077.75,23476
Franciscópolis,mineiro,19449.13,5034
Frei Gaspar,mineiro,13674.68,5640
Frei Inocêncio,mineiro,15488.87,8226
Frei Lagonegro,mineiro,10171.36,3391
Fronteira,mineiro,49568.1,14540
Fronteira dos Vales,mineiro,10777.9,4345
Fruta de Leite,mineiro,8999.57,4647
Frutal,mineiro,40872.58,58588
Funilândia,mineiro,18794.03,4686
Galiléia,mineiro,16814.67,6222
Gameleiras,mineiro,11278.35,4793
Glaucilândia,mineiro,12945.77,2928
Goiabeira,mineiro,14670.26,2830
Goianá,mineiro,15513.28,4053
Gonçalves,mineiro,21624.99,4727
Gonzaga,mineiro,11153.48,5230
Gouveia,mineiro,16842.21,11331
Governador Valadares,mineiro,26165.06,257171
Grão Mogol,mineiro,48352.82,13901
Grupiara,mineiro,31890.41,1392
Guanhães,mineiro,28633.61,32244
Guapé,mineiro,27386.89,13772
Guaraciaba,mineiro,11179.62,9753
Guaraciama,mineiro,15589.72,5051
Guaranésia,mineiro,28891.14,19150
Guarani,mineiro,19461.62,7714
Guarará,mineiro,15349.17,3149
Guarda-Mor,mineiro,114474.42,6539
Guaxupé,mineiro,53726.8,50911
Guidoval,mineiro,17600.19,7131
Guimarânia,mineiro,40063.15,8478
Guiricema,mineiro,13793.57,7778
Gurinhatã,mineiro,32779.01,5192
Heliodora,mineiro,20150.08,6134
Iapu,mineiro,15915.1,12030
Ibertioga,mineiro,20716.39,5198
Ibiá,mineiro,60160.3,22229
Ibiaí,mineiro,13560.18,6286
Ibiracatu,mineiro,9600.19,5081
Ibiraci,mineiro,51550.46,10948
Ibirité,mineiro,17407.52,170537
Ibitiúra de Minas,mineiro,22201.2,3365
Ibituruna,mineiro,19766.09,2698
Icaraí de Minas,mineiro,9134.97,10677
Igarapé,mineiro,21707.59,45847
Igaratinga,mineiro,51874.24,10830
Iguatama,mineiro,74348.83,6826
Ijaci,mineiro,74228.52,7003
Ilicínea,mineiro,21212.04,12741
Imbé de Minas,mineiro,14503.11,6986
Inconfidentes,mineiro,17947.26,7301
Indaiabira,mineiro,11914.84,6346
Indianópolis,mineiro,124934.02,6171
Ingaí,mineiro,41544.77,2580
Inhapim,mineiro,16852.46,22692
Inhaúma,mineiro,22951.75,6239
Inimutaba,mineiro,11931.24,7371
Ipaba,mineiro,9527.36,17136
Ipanema,mineiro,17115.04,19522
Ipatinga,mineiro,65869.82,227731
Ipiaçu,mineiro,43292.43,3775
Ipuiúna,mineiro,18563.37,9135
Iraí de Minas,mineiro,42670.29,7180
Itabira,mineiro,123006.06,113343
Itabirinha,mineiro,11723.25,10362
Itabirito,mineiro,247940,53365
Itacambira,mineiro,11331.15,4252
Itacarambi,mineiro,12454.64,17208
Itaguara,mineiro,29790.11,13846
Itaipé,mineiro,9419.18,10463
Itajubá,mineiro,33630.33,93073
Itamarandiba,mineiro,18431.8,32948
Itamarati de Minas,mineiro,15321,3690
Itambacuri,mineiro,14696.07,21042
Itambé do Mato Dentro,mineiro,17678,2142
Itamogi,mineiro,23351.61,10770
Itamonte,mineiro,74613.56,14786
Itanhandu,mineiro,30315.87,15236
Itanhomi,mineiro,12341.6,11128
Itaobim,mineiro,14701.65,19151
Itapagipe,mineiro,33155.1,13690
Itapecerica,mineiro,28915.19,21046
Itapeva,mineiro,85067.72,12692
Itatiaiuçu,mineiro,610779.65,12966
Itaú de Minas,mineiro,44471.67,14406
Itaúna,mineiro,53834.65,97669
Itaverava,mineiro,13411.54,5642
Itinga,mineiro,9849.06,13745
Itueta,mineiro,20119.67,6055
Ituiutaba,mineiro,35891.17,102217
Itumirim,mineiro,15326.47,6638
Iturama,mineiro,50309.34,38295
