Municípios,Gentílico,PIB per capita,População
Santa Rita de Caldas,mineiro,25612.88,8460
Santa Rita de Ibitipoca,mineiro,18272.52,3301
Santa Rita de Jacutinga,mineiro,15448.41,4755
Santa Rita de Minas,mineiro,20733.84,6773
Santa Rita do Itueto,mineiro,33004.29,5826
Santa Rita do Sapucaí,mineiro,43969.93,40635
Santa Rosa da Serra,mineiro,30331.26,3382
Santa Vitória,mineiro,40140.53,20973
Santana da Vargem,mineiro,34469.93,6691
Santana de Cataguases,mineiro,12773.83,3489
Santana de Pirapama,mineiro,15479.54,7030
Santana do Deserto,mineiro,11889.16,3747
Santana do Garambéu,mineiro,15700.64,2137
Santana do Jacaré,mineiro,21867.84,4214
Santana do Manhuaçu,mineiro,21922.2,8987
Santana do Paraíso,mineiro,20818.42,44800
Santana do Riacho,mineiro,23947,5313
Santana dos Montes,mineiro,13286.87,3469
Santo Antônio do Amparo,mineiro,18956.63,17285
Santo Antônio do Aventureiro,mineiro,18856.11,3769
Santo Antônio do Grama,mineiro,22189.15,4229
Santo Antônio do Itambé,mineiro,11880.62,3915
Santo Antônio do Jacinto,mineiro,9900.93,10327
Santo Antônio do Monte,mineiro,29473.46,27295
Santo Antônio do Retiro,mineiro,9670.55,6629
Santo Antônio do Rio Abaixo,mineiro,16228.63,1808
Santo Hipólito,mineiro,16491.4,2717
Santos Dumont,mineiro,23793.1,42406
São Bento Abade,mineiro,16505.34,4713
São Brás do Suaçuí,mineiro,21354.17,3989
São Domingos das Dores,mineiro,16117.24,5626
São Domingos do Prata,mineiro,18125.06,17392
São Félix de Minas,mineiro,13087.33,3200
São Francisco,mineiro,11446.32,52762
São Francisco de Paula,mineiro,23108.24,6187
São Francisco de Sales,mineiro,30763.55,5732
São Francisco do Glória,mineiro,15251.54,4800
São Geraldo,mineiro,20738.3,10282
São Geraldo da Piedade,mineiro,11611.66,3305
São Geraldo do Baixio,mineiro,12169.53,3143
São Gonçalo do Abaeté,mineiro,38182.29,7375
São Gonçalo do Pará,mineiro,24361.9,11770
São Gonçalo do Rio Abaixo,mineiro,684168.71,11850
São Gonçalo do Rio Preto,mineiro,15341.2,3032
São Gonçalo do Sapucaí,mineiro,38470.78,23959
São Gotardo,mineiro,32960.88,40910
São João Batista do Glória,mineiro,35560.06,7652
São João da Lagoa,mineiro,12208.13,4822
São João da Mata,mineiro,20081.08,2914
São João da Ponte,mineiro,10741.62,23930
São João das Missões,mineiro,6983.08,13024
São João del Rei,mineiro,33059.97,90225
São João do Manhuaçu,mineiro,15536.64,11246
São João do Manteninha,mineiro,13597.23,5331
São João do Oriente,mineiro,13780.13,7070
São João do Pacuí,mineiro,9974.47,3972
São João do Paraíso,mineiro,11979.66,23910
São João Evangelista,mineiro,16059.13,15315
São João Nepomuceno,mineiro,19084.4,25565
São Joaquim de Bicas,mineiro,33134.13,34348
São José da Barra,mineiro,118358.54,7793
São José da Lapa,mineiro,25528.59,26090
São José da Safira,mineiro,11549.69,3806
São José da Varginha,mineiro,22210.65,4536
São José do Alegre,mineiro,13723.34,4133
São José do Divino,mineiro,13774.55,3464
São José do Goiabal,mineiro,12581.76,5396
São José do Jacuri,mineiro,15589.16,6197
São José do Mantimento,mineiro,15659.26,2753
São Lourenço,mineiro,25310.43,44798
São Miguel do Anta,mineiro,15122.87,6334
São Pedro da União,mineiro,32471.15,4885
São Pedro do Suaçuí,mineiro,15850.23,5103
São Pedro dos Ferros,mineiro,17606.8,7166
São Romão,mineiro,19123.79,10315
São Roque de Minas,mineiro,45519.05,7129
São Sebastião da Bela Vista,mineiro,79135.44,6387
São Sebastião da Vargem Alegre,mineiro,21986.02,3113
São Sebastião do Anta,mineiro,15565.34,6194
São Sebastião do Maranhão,mineiro,10199.95,10079
São Sebastião do Oeste,mineiro,85924.5,8815
São Sebastião do Paraíso,mineiro,31099.51,71796
São Sebastião do Rio Preto,mineiro,17571.23,1259
São Sebastião do Rio Verde,mineiro,15800.11,2300
São Tomé das Letras,mineiro,19208.82,6904
São Tiago,mineiro,22414.96,11192
São Tomás de Aquino,mineiro,27976.08,6740
São Vicente de Minas,mineiro,26169.34,6804
Sapucaí-Mirim,mineiro,15652.58,6311
Sardoá,mineiro,10715.08,5104
Sarzedo,mineiro,64346.33,36844
Sem-Peixe,mineiro,14216.64,2433
Senador Amaral,mineiro,16672.42,6206
Senador Cortes,mineiro,19007.94,2240
Senador Firmino,mineiro,13512.67,7716
Senador José Bento,mineiro,24962.26,2068
Senador Modestino Gonçalves,mineiro,22733.52,4008
Senhora de Oliveira,mineiro,14013.7,5483
Senhora do Porto,mineiro,14157.59,3067
Senhora dos Remédios,mineiro,11053,10384
Sericita,mineiro,14303.08,7345
Seritinga,mineiro,24357.44,1819
Serra Azul de Minas,mineiro,10499.95,3792
Serra da Saudade,mineiro,28392.42,833
Serra do Salitre,mineiro,83678.44,11801
Serra dos Aimorés,mineiro,10433.7,6944
Serrania,mineiro,21083.52,7621
Serranópolis de Minas,mineiro,9813.13,4399
Serranos,mineiro,19785.54,1990
Serro,mineiro,13982.29,21952
Sete Lagoas,mineiro,51894.81,227397
Setubinha,mineiro,9820.38,9917
Silveirânia,mineiro,15505.21,2323
Silvianópolis,mineiro,22619.95,6179
Simão Pereira,mineiro,39707.08,2947
Simonésia,mineiro,14383.71,19750
Sobrália,mineiro,12303.29,5137
Soledade de Minas,mineiro,13150.84,5613
Tabuleiro,mineiro,17915.28,4014
Taiobeiras,mineiro,16085.74,33050
Taparuba,mineiro,15864.94,3387
Tapira,mineiro,140948.55,4118
Tapiraí,mineiro,29984.35,1690
Taquaraçu de Minas,mineiro,16000.68,4224
Tarumirim,mineiro,13189.15,14709
Teixeiras,mineiro,16380.33,12255
Teófilo Otoni,mineiro,20893.97,137418
Timóteo,mineiro,61482,81579
Tiradentes,mineiro,25209.23,7744
Tiros,mineiro,59641.82,7883
Tocantins,mineiro,20853.44,16185
Tocos do Moji,mineiro,17177.37,3826
Toledo,mineiro,16912.97,7214
Tombos,mineiro,17047.93,8609
Três Corações,mineiro,36734.42,75485
Três Marias,mineiro,95324.95,28895
Três Pontas,mineiro,32896.24,55255
Tumiritinga,mineiro,12198.83,5886
Tupaciguara,mineiro,37169.53,25470
Turmalina,mineiro,21879.01,20000
Turvolândia,mineiro,27420.97,4935
Ubá,mineiro,30288.91,103365
Ubaí,mineiro,9258.29,11708
Ubaporanga,mineiro,13424.24,13017
Uberaba,mineiro,59943.87,337836
Uberlândia,mineiro,61038.02,713224
Umburatiba,mineiro,17107.6,2684
Unaí,mineiro,50544.26,86619
União de Minas,mineiro,30580,3828
Uruana de Minas,mineiro,29820.95,3282
Urucânia,mineiro,23226.29,10600
Urucuia,mineiro,11061.34,17479
Vargem Alegre,mineiro,11970.81,5780
Vargem Bonita,mineiro,40894.45,2158
Vargem Grande do Rio Pardo,mineiro,13504.4,4633
Varginha,mineiro,58817.87,136467
Varjão de Minas,mineiro,43704.06,6969
Várzea da Palma,mineiro,26623.1,33744
Varzelândia,mineiro,9704.8,18840
Vazante,mineiro,56478.26,19975
Verdelândia,mineiro,12118.32,7672
Veredinha,mineiro,23208.11,5181
Veríssimo,mineiro,41671,3411
Vermelho Novo,mineiro,13235.02,4899
Vespasiano,mineiro,22909.06,129246
Viçosa,mineiro,22673.74,76430
Vieiras,mineiro,14974.51,3700
Virgem da Lapa,mineiro,9585.82,11804
Virgínia,mineiro,20855.96,8908
Virginópolis,mineiro,17587.98,10314
Virgolândia,mineiro,11818.51,4552
Visconde do Rio Branco,mineiro,31179.87,39160
Volta Grande,mineiro,26633.91,4443
Wenceslau Braz,mineiro,13011.59,2356
