Municípios,Gentílico,PIB per capita,População
Cachoeira Dourada,mineiro,"99124,77 R$",2315 pessoas
Caetanópolis,mineiro,"26561,99 R$",11435 pessoas
Caeté,mineiro,"23695,84 R$",38776 pessoas
Caiana,mineiro,"15876,73 R$",5304 pessoas
Cajuri,mineiro,"24569,91 R$",4088 pessoas
Caldas,mineiro,"23127,61 R$",14217 pessoas
Camacho,mineiro,"24964,43 R$",2838 pessoas
Camanducaia,mineiro,"45365,42 R$",26097 pessoas
Cambuí,mineiro,"62049,99 R$",29536 pessoas
Cambuquira,mineiro,"28950,98 R$",12313 pessoas
Campanário,mineiro,"14298,98 R$",2923 pessoas
Campanha,mineiro,"26097,7 R$",15935 pessoas
Campestre,mineiro,"23104,32 R$",20696 pessoas
Campina Verde,mineiro,"27169,11 R$",18011 pessoas
Campo Azul,mineiro,"10616,58 R$",3714 pessoas
Campo Belo,mineiro,"22905,64 R$",52277 pessoas
Campo do Meio,mineiro,"19843,07 R$",11377 pessoas
Campo Florido,mineiro,"84803,44 R$",8466 pessoas
Campos Altos,mineiro,"27730,44 R$",12979 pessoas
Campos Gerais,mineiro,"24372,14 R$",26105 pessoas
Cana Verde,mineiro,"14348,74 R$",5272 pessoas
Canaã,mineiro,"17088,06 R$",4715 pessoas
Canápolis,mineiro,"55343,4 R$",10608 pessoas
Candeias,mineiro,"24926,08 R$",14001 pessoas
Cantagalo,mineiro,"12406,75 R$",3974 pessoas
Caparaó,mineiro,"17866,83 R$",5048 pessoas
Capela Nova,mineiro,"13534,64 R$",4362 pessoas
Capelinha,mineiro,"23174,33 R$",39626 pessoas
Capetinga,mineiro,"30215,68 R$",6562 pessoas
Capim Branco,mineiro,"12467,57 R$",10663 pessoas
Capinópolis,mineiro,"40910,84 R$",14655 pessoas
Capitão Andrade,mineiro,"10939,49 R$",4585 pessoas
Capitão Enéas,mineiro,"32591,49 R$",14108 pessoas
Capitólio,mineiro,"37783,2 R$",10380 pessoas
Caputira,mineiro,"15427,23 R$",8936 pessoas
Caraí,mineiro,"8814,85 R$",19548 pessoas
Caranaíba,mineiro,"13169,27 R$",2933 pessoas
Carandaí,mineiro,"29108,4 R$",23812 pessoas
Carangola,mineiro,"19358,62 R$",31240 pessoas
Caratinga,mineiro,"24518,79 R$",87360 pessoas
Carbonita,mineiro,"23419,5 R$",8512 pessoas
Careaçu,mineiro,"25519,59 R$",6816 pessoas
Carlos Chagas,mineiro,"25642,26 R$",18615 pessoas
Carmésia,mineiro,"14958,01 R$",2605 pessoas
Carmo da Cachoeira,mineiro,"26379,28 R$",11547 pessoas
Carmo da Mata,mineiro,"23014,9 R$",11019 pessoas
Carmo de Minas,mineiro,"19322,94 R$",13797 pessoas
Carmo do Cajuru,mineiro,"27469,01 R$",23479 pessoas
Carmo do Paranaíba,mineiro,"34945,92 R$",29011 pessoas
Carmo do Rio Claro,mineiro,"32595,84 R$",20954 pessoas
Carmópolis de Minas,mineiro,"23365,28 R$",18003 pessoas
Carneirinho,mineiro,"40332,68 R$",9422 pessoas
Carrancas,mineiro,"43842,86 R$",4049 pessoas
Carvalhópolis,mineiro,"19752,88 R$",3341 pessoas
Carvalhos,mineiro,"18141,26 R$",4422 pessoas
Casa Grande,mineiro,"30760,19 R$",2214 pessoas
Cascalho Rico,mineiro,"25741,18 R$",2712 pessoas
Cássia,mineiro,"24600,35 R$",17155 pessoas
Cataguases,mineiro,"21748,3 R$",66261 pessoas
Catas Altas,mineiro,"920833,97 R$",5473 pessoas
Catas Altas da Noruega,mineiro,"11130,5 R$",3110 pessoas
Catuji,mineiro,"13420,7 R$",7030 pessoas
Catuti,mineiro,"11497,57 R$",4739 pessoas
Caxambu,mineiro,"17204,61 R$",21056 pessoas
Cedro do Abaeté,mineiro,"19483,63 R$",1081 pessoas
Central de Minas,mineiro,"12334,73 R$",6171 pessoas
Centralina,mineiro,"33942,79 R$",10207 pessoas
Chácara,mineiro,"14661,46 R$",3075 pessoas
Chalé,mineiro,"20049,37 R$",6075 pessoas
Chapada do Norte,mineiro,"7247,1 R$",10337 pessoas
Chapada Gaúcha,mineiro,"28354,63 R$",12355 pessoas
Chiador,mineiro,"14020,88 R$",2800 pessoas
Cipotânea,mineiro,"10762,85 R$",5581 pessoas
Claraval,mineiro,"37352,16 R$",4658 pessoas
Claro dos Poções,mineiro,"11196,9 R$",7166 pessoas
Cláudio,mineiro,"38451,85 R$",30159 pessoas
Coimbra,mineiro,"18325,94 R$",7117 pessoas
Coluna,mineiro,"13756,65 R$",8163 pessoas
Comendador Gomes,mineiro,"49491,51 R$",2773 pessoas
Comercinho,mineiro,"10285,11 R$",6660 pessoas
Conceição da Aparecida,mineiro,"26487,93 R$",10371 pessoas
Conceição da Barra de Minas,mineiro,"17449,47 R$",3560 pessoas
Conceição das Alagoas,mineiro,"45805,26 R$",28381 pessoas
Conceição das Pedras,mineiro,"21692,56 R$",2772 pessoas
Conceição de Ipanema,mineiro,"17685,15 R$",4409 pessoas
Conceição do Mato Dentro,mineiro,"519040,92 R$",23163 pessoas
